Zones,District
"bagmati","bhaktapur"
"bagmati","dhading"
"bagmati","kathmandu"
"bagmati","kavrepalanchok"
"bagmati","lalitpur"
"bagmati","nuwakot"
"bagmati","rasuwa"
"bagmati","sindhupalchok"
"bheri","banke"
"bheri","bardiya"
"bheri","dailekh"
"bheri","jajarkot"
"bheri","surkhet"
"dhawalagiri","baglung"
"dhawalagiri","mustang"
"dhawalagiri","myagdi"
"dhawalagiri","parbat"
"gandaki","gorkha"
"gandaki","kaski"
"gandaki","lamjung"
"gandaki","manang"
"gandaki","syangja"
"gandaki","tanahu"
"janakpur","dhanusa"
"janakpur","dholkha"
"janakpur","mahottari"
"janakpur","ramechhap"
"janakpur","sarlahi"
"janakpur","sindhuli"
"karnali","dolpa"
"karnali","humla"
"karnali","jumla"
"karnali","kalikot"
"karnali","mugu"
"koshi","bhojpur"
"koshi","dhankuta"
"koshi","morang"
"koshi","sankhuwasabha"
"koshi","sunsari"
"koshi","terhathum"
"lumbini","arghakhanchi"
"lumbini","gulmi"
"lumbini","kapilvastu"
"lumbini","nawalparasi"
"lumbini","palpa"
"lumbini","rupandehi"
"mahakali","baitadi"
"mahakali","dadeldhura"
"mahakali","darchula"
"mahakali","kanchanpur"
"mechi","ilam"
"mechi","jhapa"
"mechi","panchthar"
"mechi","taplejung"
"narayani","bara"
"narayani","chitwan"
"narayani","makwanpur"
"narayani","parsa"
"narayani","rautahat"
"rapti","dang deukhuri"
"rapti","pyuthan"
"rapti","rolpa"
"rapti","rukum"
"rapti","salyan"
"sagarmatha","khotang"
"sagarmatha","okhaldhunga"
"sagarmatha","saptari"
"sagarmatha","siraha"
"sagarmatha","solukhumbu"
"sagarmatha","udayapur"
"seti","achham"
"seti","bajhang"
"seti","bajura"
"seti","doti"
"seti","kailali"
